Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
37	340	1	1	50	4	FL_417	FN	1	3	3	E	2
40	502	1	1	33	2	FL_417	FN	1	2	4	E	1
41	246	1	1	27	5	FL_417	FN	1	2	6	A	2
43	206	1	2	25	5	FL_417	FN	1	2	3	D	2
50	261	1	1	31	5	FL_417	FN	1	2	5	C	1
52	91	1	2	20	3	FL_417	FN	1	3	6	D	6
53	294	1	2	18	2	FL_417	FN	1	1	5	A	2
58	410	1	2	31	3	FL_417	FN	1	1	5	E	1
60	102	1	1	27	6	FL_417	FN	1	3	4	E	4
61	210	1	1	33	2	FL_417	FN	1	2	2	B	3
63	219	1	1	38	5	FL_417	FN	1	2	3	B	3
71	337	1	2	23	5	FL_417	FN	1	1	5	E	1
73	193	1	2	27	5	FL_417	FN	1	2	4	D	1
75	204	1	1	24	2	FL_417	FN	1	2	3	C	1
78	262	1	3	35	3	FL_417	FN	1	1	6	C	1
83	228	1	2	18	3	FL_417	FN	1	2	5	C	2
91	157	1	1	38	5	FL_417	FN	1	1	1	B	1
93	351	1	1	43	3	FL_417	FN	1	3	6	A	5
99	353	1	1	23	4	FL_417	FN	1	1	6	B	1
102	244	1	2	53	4	FL_417	FN	1	2	6	E	6
105	271	1	2	36	6	FL_417	FN	1	2	4	E	1
107	317	1	2	20	3	FL_417	FN	1	1	1	A	1
112	153	1	2	24	5	FL_417	FN	1	2	5	C	2
113	951	1	1	18	2	FL_417	FN	1	3	4	E	2
117	557	1	2	66	4	FL_417	FN	1	1	6	D	2
118	429	1	2	23	4	FL_417	FN	1	2	4	A	3
119	266	1	2	47	3	FL_417	FN	1	1	6	E	4
120	191	1	2	41	2	FL_417	FN	1	1	5	B	1
122	552	1	2	39	3	FL_417	FN	1	2	6	A	2
123	195	1	2	46	6	FL_417	FN	1	1	4	E	1
129	233	1	2	46	5	FL_417	FN	1	2	2	A	2
132	780	1	2	18	2	FL_417	FN	1	2	5	E	3
133	224	1	1	18	2	FL_417	FN	1	4	6	E	6
134	209	1	1	22	2	FL_417	FN	1	2	3	D	2
